,area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc
72,1038.0,2002,6.0,3.0,3.0,3.0,1.0,0.0,0.0,995,25.0
73,157.0,2011,4.0,3.0,3.0,1.0,0.0,1.0,1.0,5000,23.0
74,188.3,2016,4.0,2.0,2.0,1.0,1.0,0.0,0.0,551,32.0
75,78.0,2010,1.0,2.0,1.0,1.0,0.0,1.0,1.0,5000,39.0
76,142.4,2005,3.0,2.0,1.0,2.0,0.0,1.0,0.0,721,6.0
77,162.0,2015,4.0,2.0,1.0,2.0,0.0,0.0,0.0,508,40.0
78,70.0,2013,2.0,1.0,2.0,1.0,0.0,1.0,1.0,5000,26.0
79,82.9,2006,2.0,2.0,1.0,2.0,1.0,0.0,1.0,597,33.0
80,295.6,2016,5.0,2.0,2.0,2.0,1.0,0.0,0.0,715,41.0
81,75.0,1994,3.0,1.0,2.0,1.0,1.0,0.0,1.0,280,42.0
82,90.2,2012,2.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,43.0
83,35.0,1999,1.0,1.0,2.0,2.0,0.0,1.0,1.0,243,44.0
84,88.0,1995,3.0,1.0,3.0,1.0,0.0,1.0,1.0,5000,45.0
85,73.8,1996,3.0,1.0,3.0,1.0,0.0,1.0,0.0,387,44.0
86,60.0,2014,1.0,2.0,1.0,1.0,0.0,0.0,0.0,5000,33.0
87,59.0,2006,1.0,1.0,3.0,2.0,1.0,0.0,1.0,1025,33.0
88,206.0,2013,3.0,2.0,3.0,1.0,0.0,1.0,1.0,562,38.0
89,82.12,2011,1.0,2.0,1.0,5.0,0.0,1.0,0.0,438,46.0
90,85.0,2015,2.0,2.0,1.0,1.0,1.0,0.0,1.0,5000,47.0
91,41.0,1992,1.0,1.0,2.0,2.0,1.0,0.0,1.0,593,21.0
92,69.0,2015,2.0,1.0,3.0,2.0,1.0,0.0,1.0,924,19.0
93,100.0,2004,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1024,48.0
94,82.0,2013,2.0,2.0,3.0,1.0,0.0,1.0,0.0,5000,33.0
95,66.0,2015,2.0,2.0,1.0,2.0,1.0,0.0,1.0,5000,3.0
96,142.8,2008,3.0,2.0,1.0,2.0,0.0,1.0,1.0,362,49.0
97,191.0,2000,3.0,2.0,2.0,2.0,1.0,0.0,1.0,372,13.0
98,98.0,2007,3.0,2.0,3.0,2.0,0.0,1.0,1.0,682,12.0
99,80.3,2007,2.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,36.0
100,80.7,2000,2.0,2.0,1.0,1.0,0.0,1.0,0.0,5000,16.0
101,65.0,2008,1.0,2.0,2.0,1.0,0.0,1.0,1.0,440,50.0
102,117.0,2010,4.0,2.0,3.0,2.0,0.0,1.0,0.0,1156,30.0
103,57.0,1993,2.0,1.0,2.0,1.0,0.0,1.0,1.0,434,51.0
104,105.0,2003,2.0,2.0,3.0,2.0,0.0,1.0,1.0,381,6.0
105,80.0,2015,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1190,23.0
106,74.0,2013,1.0,2.0,2.0,1.0,0.0,0.0,1.0,862,4.0
107,55.0,1997,1.0,1.0,1.0,1.0,0.0,1.0,1.0,419,24.0
108,42.21,1992,1.0,1.0,1.0,1.0,0.0,1.0,1.0,434,51.0
109,339.98,2005,3.0,2.0,1.0,6.0,0.0,1.0,0.0,977,25.0
110,77.4,2014,2.0,2.0,2.0,2.0,0.0,1.0,1.0,264,52.0
111,90.52,2002,3.0,2.0,3.0,2.0,1.0,0.0,1.0,1158,53.0
112,90.0,2000,2.0,2.0,2.0,1.0,0.0,1.0,1.0,5000,10.0
113,85.0,1995,3.0,1.0,2.0,2.0,1.0,0.0,1.0,595,52.0
114,101.0,1999,2.0,2.0,2.0,1.0,0.0,1.0,1.0,5000,54.0
115,60.0,2004,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5000,54.0
116,56.4,1983,2.0,1.0,1.0,2.0,0.0,1.0,1.0,236,44.0
117,139.38,2016,3.0,2.0,3.0,2.0,1.0,0.0,0.0,5000,37.0
118,110.0,2016,2.0,2.0,3.0,1.0,0.0,1.0,1.0,770,55.0
119,77.0,2016,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1190,23.0
120,321.8,2006,5.0,2.0,3.0,2.0,0.0,1.0,1.0,562,38.0
121,379.0,2016,5.0,3.0,2.0,2.0,0.0,0.0,1.0,770,55.0
122,41.0,1995,1.0,1.0,2.0,1.0,0.0,1.0,0.0,374,56.0
123,80.3,2006,2.0,2.0,3.0,2.0,0.0,1.0,0.0,5000,57.0
124,38.01,1991,1.0,0.0,1.0,6.0,0.0,0.0,0.0,621,4.0
125,77.6,2017,2.0,1.0,2.0,1.0,1.0,0.0,0.0,5000,58.0
126,43.0,1992,1.0,1.0,1.0,1.0,0.0,1.0,1.0,434,51.0
127,105.0,2012,2.0,2.0,3.0,1.0,1.0,0.0,1.0,666,49.0
128,74.25,2005,2.0,2.0,2.0,2.0,0.0,1.0,0.0,793,59.0
129,70.0,2013,2.0,1.0,1.0,2.0,0.0,1.0,0.0,5000,32.0
130,32.4,1984,1.0,0.0,2.0,1.0,0.0,1.0,1.0,5000,16.0
131,95.91,1996,2.0,1.0,3.0,2.0,0.0,1.0,1.0,5000,30.0
132,56.4,2015,1.0,1.0,3.0,1.0,0.0,1.0,0.0,5000,33.0
133,115.1,2010,3.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,45.0
134,88.7,2012,2.0,2.0,2.0,2.0,0.0,1.0,1.0,512,60.0
135,88.0,2015,2.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,61.0
136,81.55,2015,3.0,1.0,3.0,2.0,1.0,0.0,0.0,5000,33.0
137,88.82,2010,3.0,2.0,2.0,1.0,1.0,0.0,0.0,5000,9.0
138,78.32,2013,2.0,2.0,3.0,1.0,1.0,0.0,0.0,5000,33.0
139,105.27,2000,2.0,2.0,2.0,2.0,0.0,1.0,1.0,326,6.0
140,340.0,2012,4.0,2.0,3.0,2.0,1.0,0.0,0.0,694,25.0
141,146.5,2007,4.0,2.0,2.0,2.0,1.0,0.0,1.0,763,54.0
142,106.6,1998,2.0,2.0,2.0,2.0,0.0,1.0,0.0,279,56.0
143,95.63,2006,2.0,2.0,1.0,2.0,0.0,1.0,1.0,5000,59.0
144,68.3,1995,2.0,1.0,1.0,1.0,0.0,1.0,1.0,421,62.0
145,151.3,2006,2.0,2.0,3.0,2.0,0.0,1.0,1.0,439,13.0
146,141.7,2016,3.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,63.0
147,74.0,2006,2.0,2.0,3.0,2.0,0.0,1.0,0.0,1067,59.0
148,80.7,1997,2.0,2.0,1.0,2.0,0.0,1.0,0.0,5000,16.0
149,81.58,2014,3.0,1.0,3.0,1.0,0.0,1.0,0.0,5000,33.0
150,168.0,2004,4.0,2.0,3.0,2.0,0.0,1.0,1.0,5000,41.0
151,78.2,1996,2.0,1.0,1.0,1.0,0.0,1.0,0.0,5000,10.0
