area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc,price
80,2005,2,2,3,2,0,1,1,307,54,43500
89,2012,3,1,2,2,0,0,1,5000,23,35393
92,2013,3,2,1,2,0,0,1,5000,29,17935
89,2012,2,2,2,2,0,1,1,5000,18,22472
74,1995,2,2,1,2,0,1,0,583,96,21622
141.07,2014,3,2,2,2,1,0,1,440,85,44552
77.6,2015,2,2,1,1,0,1,1,402,19,34407
81.31,1996,2,1,2,8,0,1,1,5000,145,47965
139.92,2002,3,2,2,2,0,1,1,439,112,41452
123,2004,3,2,3,2,0,1,0,439,67,54146
90,2011,2,2,1,2,0,1,0,420,23,36667
81.2,1996,2,2,2,2,0,1,1,696,8,45566
145,2001,3,2,2,1,0,1,1,5000,34,57586
63.63,2010,2,1,3,1,0,1,0,5000,5,47462
83.65,1995,2,2,1,1,0,1,1,5000,10,18530
120,2008,3,2,3,1,0,0,0,485,146,83333
88.7,2011,3,2,2,2,0,1,0,5000,12,40586
85.96,2005,2,2,1,2,0,1,1,5000,5,57003
121.88,1998,3,2,1,1,0,1,1,5000,10,15573
82,2010,2,2,3,2,0,1,1,5000,39,30488
54.7,1995,2,1,3,2,0,1,1,598,44,45704
81,2008,2,2,1,2,0,1,1,59,77,29012
43.9,1996,1,1,2,1,0,0,0,5000,65,43736
73.9,2012,2,2,3,1,0,1,0,5000,112,41949
229.05,2002,4,2,3,1,0,0,0,868,78,69417
107.4,2004,2,2,2,2,0,1,1,387,41,64246
45,1992,1,1,2,2,0,1,1,5000,71,48889
124,2010,3,2,2,2,0,1,1,5000,61,31048
49.74,1995,1,1,3,1,0,1,1,342,55,50261
48,1997,1,1,2,1,0,1,1,5000,115,36667
87.1,2010,2,2,2,1,0,1,1,546,49,42480
82,2008,2,1,1,2,0,1,1,59,77,28049
55.29,1996,2,1,2,1,0,0,0,5000,65,46120
118,2002,2,2,3,2,0,1,0,477,134,74576
115.6,2005,3,2,1,2,0,1,0,5000,34,45675
73.8,1996,3,1,3,1,0,1,0,387,44,55556
82,2013,2,2,1,2,1,0,1,5000,147,20122
48,2001,1,1,2,2,0,0,0,5000,52,39583
136,2010,4,2,3,2,0,1,1,455,101,41176
35,1999,1,1,2,1,0,1,1,172,44,50000
55.8,1993,2,1,2,1,0,1,1,5000,45,30466
116.19,1999,3,2,2,1,0,1,0,813,120,60160
173.4,2006,3,2,1,1,0,1,1,294,38,107266
53.9,1997,1,1,2,1,0,1,1,340,120,61224
62.6,1996,2,2,1,2,0,1,1,243,30,50319
76,2007,2,2,1,2,0,1,1,5000,61,32895
83,2015,2,2,2,2,1,0,1,5000,72,36386
52.25,1992,1,1,3,1,0,1,1,284,13,104306
112.7,2009,2,2,3,1,0,1,1,365,86,78083
59.2,2015,3,2,1,2,1,0,1,5000,3,11909
62,2012,1,2,2,2,0,1,1,59,77,28226
50.04,1984,2,1,3,1,0,1,1,394,104,105915
128.49,2010,3,2,2,1,0,1,0,5000,10,21402
82.31,1997,3,1,3,1,0,1,1,795,120,52485
40,2009,2,1,2,1,0,1,0,5000,138,21250
71.36,2013,2,1,3,1,1,0,1,5000,22,26626
67.4,1995,2,1,1,1,0,1,1,554,26,42730
60.39,1995,1,1,2,1,0,1,0,937,48,64580
80.95,1993,2,2,2,1,1,0,1,5000,10,17295
94.8,2014,2,2,1,1,0,0,1,956,12,37975
119.68,2015,3,2,1,1,0,1,0,323,48,75201
95.3,2000,3,2,2,2,0,1,1,432,66,25708
51,1993,1,1,3,1,0,0,1,310,84,91176
92.36,2001,3,1,1,2,0,1,1,5000,42,59550
98.67,2009,3,2,1,2,0,1,0,5000,33,32431
81.7,2006,2,2,1,1,1,0,1,1165,102,42228
94,2008,3,1,1,1,0,1,0,1104,54,51064
88.6,2009,2,2,2,2,1,0,1,736,74,55079
65.39,1996,2,1,2,1,0,1,1,243,30,61630
50,2006,1,2,3,2,0,1,1,5000,61,43600
304,2004,4,2,2,1,0,1,1,1049,53,82204
135,2000,3,2,3,1,0,1,1,500,126,69630
120,2010,3,2,1,2,0,1,0,5000,39,20833
59.85,1994,2,1,3,1,0,1,1,942,41,54302
80.8,2015,2,2,2,1,0,1,0,1021,19,24752
92.72,2009,2,2,3,2,0,1,1,1198,112,44758
95,2002,2,2,2,1,0,1,0,1105,71,54211
125.3,2015,3,2,3,2,1,0,0,691,97,43815
140,2006,3,2,3,2,0,1,1,870,109,29286
231.89,2006,4,3,3,2,0,1,1,385,40,68136
66.02,2011,1,2,2,2,0,0,0,783,148,127234
96.09,2006,2,2,2,2,0,1,1,5000,5,53804
67.2,2009,2,1,3,1,0,1,1,5000,61,41667
64.75,1982,2,1,3,1,0,1,1,1105,2,47876
93,2007,3,2,3,3,0,1,1,5000,61,32151
94.8,2011,2,2,3,2,0,1,1,956,12,34283
131.84,1999,3,2,2,1,0,1,0,813,120,56129
88.91,2003,3,2,3,2,0,1,1,477,113,59611
38.65,1988,1,1,3,1,0,1,1,5000,94,43984
81.7,2006,2,2,3,1,0,1,0,263,10,35496
88,2012,3,2,2,2,0,1,1,5000,39,25000
88.74,2014,3,2,1,2,0,1,0,5000,22,34934
124,2002,3,2,2,2,1,0,1,573,110,79435
139.81,2006,2,2,3,1,0,1,1,439,13,157285
95,2008,3,2,2,2,0,1,1,5000,61,29105
149.42,2000,4,3,3,1,0,1,1,751,41,56887
69.5,2016,2,1,2,1,1,0,0,5000,58,18130
77.33,2012,2,2,3,2,0,1,0,5000,59,35562
55.4,1997,2,1,3,1,0,1,0,645,135,40614
54.73,1991,2,1,1,2,0,1,1,1085,11,63037
51.7,2008,1,2,2,2,0,1,1,722,54,55126
99.58,2012,2,1,3,1,0,1,1,5000,82,76321
58.83,1999,2,1,2,2,0,1,0,914,24,44195
60.36,2008,1,1,2,2,1,0,1,860,33,44732
63,1988,2,1,3,2,0,1,1,325,26,44127
55,2008,1,1,3,2,0,1,1,1152,102,41818
32,1985,1,1,1,1,0,1,1,555,84,125000
95,2014,3,2,2,2,0,0,0,569,149,41053
85.96,2005,2,2,1,2,0,1,1,5000,5,57003
61.01,1996,2,1,3,1,0,1,0,411,130,20980
75.92,1999,2,2,3,1,0,0,1,5000,65,46101
95,2012,2,2,2,2,0,1,1,5000,33,30526
88.43,2015,2,2,2,2,1,0,0,757,128,43877
58,1995,2,1,1,1,0,1,1,992,26,51724
95.3,2014,3,2,1,1,1,0,1,5000,12,41763
346.1,2009,4,2,3,3,1,0,0,694,25,210922
115,2010,3,2,2,2,0,1,0,5000,45,34783
98,2013,3,2,3,2,0,0,0,807,77,30102
58.07,1994,2,1,2,2,0,1,1,406,131,80937
74,2015,2,2,3,2,0,1,0,5000,61,27838
38.6,1995,1,1,2,2,0,1,1,554,26,44041
55.22,2005,1,1,2,1,0,1,1,5000,112,26259
64.3,2005,2,2,2,1,0,1,0,362,146,54432
126.21,1999,3,2,1,1,0,1,1,1048,108,35655
97,2000,2,2,3,2,0,1,1,5000,37,54639
100.53,2003,2,2,1,1,0,0,0,191,131,90520
83,2003,2,2,2,2,0,1,1,713,51,77831
74.2,2008,2,2,3,1,0,1,0,61,59,48248
77,2015,2,2,1,1,1,0,0,5000,90,25974
96.51,2013,3,2,2,1,0,0,1,5000,61,47663
100.48,1993,3,1,2,2,0,0,1,597,143,87580
123.1,2006,2,2,2,1,0,0,1,442,131,97482
77,2013,2,2,3,1,0,1,0,5000,33,27273
107.52,2011,2,2,2,1,0,1,0,5000,5,73475
61,2016,3,2,3,1,1,0,0,5000,7,9803
198,2005,4,2,3,2,0,1,0,721,6,69697
138.93,2007,3,2,1,1,0,1,1,5000,5,69819
77,2016,3,2,2,2,1,0,0,5000,7,9221
80,2015,2,2,3,1,0,1,0,1190,23,26875
195,2014,4,2,3,2,1,0,0,5000,5,65641
77,2008,2,1,3,1,0,1,1,614,8,88312
69,2005,2,1,1,1,0,1,1,5000,9,33043
176,2004,3,2,3,2,0,1,1,291,38,96591
99.4,2006,2,2,3,2,0,1,1,5000,89,97586
134.6,2008,3,2,1,2,0,1,1,5000,20,23403
181.1,2006,3,2,2,2,0,1,1,633,17,80066
75.78,2004,2,2,2,1,0,1,1,5000,55,77857
82,2008,2,2,2,1,0,1,1,5000,39,20366
115.58,2012,3,2,2,1,0,1,0,691,127,64025
91.46,2015,2,2,1,2,0,1,1,719,19,32615
97.09,2001,2,2,3,1,0,0,0,393,131,77248
81.45,2005,2,2,3,1,0,1,1,551,9,39902
158,2015,3,2,3,2,0,1,0,592,37,75949
70.8,2009,2,1,2,2,0,1,1,938,54,52260
62.68,1994,2,1,2,2,0,0,0,724,52,35897
90,2008,1,2,2,1,0,1,1,232,13,162778
54.56,2012,1,1,1,1,0,1,1,1102,70,28409
52.03,1993,1,1,3,1,0,1,1,1079,145,47857
65,2010,2,2,2,2,0,1,1,694,37,65385
64.08,1989,2,1,1,9,0,0,0,5000,59,40574
83.8,2010,2,2,3,1,0,1,0,1150,67,54296
56,2010,1,2,2,1,0,1,0,5000,33,31250
25,2013,2,2,1,2,0,1,0,5000,52,28000
146,2000,3,2,2,1,0,1,0,494,38,82192
270,2008,4,2,1,3,0,1,1,588,79,107407
90.89,2007,2,2,2,2,0,1,1,5000,45,33007
101.49,2007,2,2,2,2,1,0,1,682,12,28870
113,2012,2,2,3,1,0,1,1,316,85,41150
127.1,2006,3,2,2,2,0,1,1,5000,81,34618
51,1984,2,1,1,1,0,1,1,712,143,122941
72,2018,2,2,3,2,1,0,0,5000,7,8056
65,2004,2,1,3,1,1,0,1,5000,65,42308
76.5,2013,2,2,3,1,0,1,0,5000,33,28105
101.59,2012,3,1,1,2,0,1,1,5000,65,52367
114,1996,3,2,2,2,0,1,0,1128,96,21579
75,1995,3,1,3,1,0,0,1,571,42,60667
106.22,2004,2,2,1,1,0,1,1,921,41,69667
136,2011,3,2,2,1,1,0,1,862,4,67647
127.8,2006,3,2,2,2,0,0,1,183,121,75117
333.4,2012,4,2,1,1,0,1,0,683,104,127475
145.81,2004,3,2,1,2,1,0,0,799,25,89020
77.5,2017,2,2,1,2,1,0,0,561,22,39742
51,1996,2,1,2,1,1,0,1,5000,9,33333
89,2009,3,2,1,2,1,0,1,5000,54,74719
73.2,1996,2,1,3,1,0,1,1,618,98,54235
51,1991,2,1,2,1,0,0,0,5000,76,22745
103,2013,3,2,3,2,0,1,0,447,23,33981
95.89,2000,2,2,1,1,0,1,0,443,31,54750
75,1996,2,2,1,1,0,1,1,1141,12,28000
90.5,2015,2,2,2,2,1,0,1,884,96,25414
74,2006,2,2,3,2,0,0,0,918,59,39324
38.9,1995,1,1,2,1,0,1,0,373,27,48329
108,2014,2,2,3,2,0,1,0,5000,5,57407
108,2001,2,2,2,1,0,1,1,265,34,55370
102,2006,2,2,3,2,0,0,0,541,37,58824
68.7,1996,2,1,1,2,0,1,0,724,75,45852
68.26,1994,2,1,2,1,0,1,1,1000,128,34134
68,2000,2,1,2,1,0,1,1,939,73,54412
84,2008,2,2,2,2,1,0,0,5000,39,24405
40.83,1994,1,1,2,1,0,1,0,788,120,55107
193.56,2006,3,2,2,1,0,1,1,439,13,144658
48,1992,2,1,2,2,0,1,0,526,71,48958
110,2016,3,2,1,2,0,1,1,5000,61,47273
89.85,2011,2,2,3,2,0,1,1,926,132,57318
78,2015,2,2,2,1,0,0,0,5000,29,22564
86.5,2009,2,2,1,2,1,0,1,1183,72,47399
95,2013,2,2,3,2,0,1,0,807,77,30526
75,2006,2,2,2,2,0,1,1,5000,61,31733
95,2017,3,2,3,1,0,0,0,5000,68,17368
90.3,1998,3,2,1,1,0,1,0,5000,55,44297
114.4,2016,3,2,3,2,0,1,0,577,10,34965
39.4,1994,1,1,3,1,1,0,0,5000,94,50254
132.2,2012,3,2,2,2,0,1,0,5000,65,41225
134.15,2004,3,2,3,1,0,1,1,750,113,58740
69.3,2005,2,2,1,2,0,1,1,5000,45,44012
142.02,2002,4,2,1,1,0,1,0,868,78,61963
80,2002,2,2,2,1,1,0,0,588,103,50000
115,2014,3,2,3,2,0,1,0,5000,61,47826
89.9,2008,2,2,3,2,0,1,0,5000,20,30033
99.5,2013,3,2,1,2,0,1,1,5000,81,26633
41.66,1999,1,1,3,2,0,1,0,914,24,48488
85.85,2006,2,2,3,2,1,0,1,538,33,41934
110,2010,2,2,3,2,1,0,1,5000,39,24545
50.9,1990,2,1,3,2,0,1,1,5000,35,34971
95.9,2006,3,2,2,2,0,1,1,918,54,42649
90.4,1998,3,1,1,1,0,1,1,1094,96,23230
33,1984,1,1,2,1,0,1,1,394,104,143939
95,2005,3,1,1,2,0,1,1,975,31,65579
84.51,2005,2,1,3,1,0,1,1,1158,26,47095
60.6,1989,2,1,3,8,0,1,1,584,41,47855
87.3,2010,2,2,2,2,0,1,1,546,49,42383
68,2002,2,1,1,1,0,0,0,5000,71,45294
115.63,1997,3,2,1,1,0,1,1,467,78,55781
191.27,2011,4,2,2,2,0,1,1,5000,128,47054
131,2000,3,2,3,2,0,0,1,353,143,99237
71,1999,2,1,1,2,0,0,0,5000,132,40141
210,2008,4,2,3,2,0,1,1,5000,39,18095
51,1990,2,1,2,2,0,1,1,401,44,48039
100,2004,3,2,2,2,0,1,0,629,54,70000
103,2001,2,2,3,2,0,1,0,1138,71,53398
99.69,1999,3,2,3,1,0,1,1,5000,35,44638
74.7,2014,2,2,2,1,0,1,0,774,9,33869
44.35,1993,1,1,3,1,0,1,1,1123,26,50733
87.17,2006,2,2,3,1,0,1,0,528,150,84892
93.23,2006,2,2,2,1,1,0,0,467,110,95463
124.9,2005,3,2,3,2,0,1,1,569,24,52042
95.14,2006,3,2,3,1,0,1,1,5000,61,35211
70,1998,2,1,3,1,0,1,0,235,24,57143
186.56,2012,4,2,3,2,0,1,0,5000,128,47438
110,2012,3,2,3,1,0,1,1,874,49,40909
106,2006,2,2,2,2,0,1,0,800,41,69340
92,2013,2,2,2,2,0,1,1,5000,33,25543
176,2011,4,2,3,2,0,1,1,487,54,63807
71,2006,2,1,1,6,1,0,1,5000,29,19014
80.1,2009,2,2,1,1,1,0,1,653,52,44694
127.68,2000,3,2,3,2,0,1,0,459,113,66416
96,2014,3,2,2,2,0,1,0,5000,36,30208
83.42,1996,2,1,3,1,0,0,0,831,112,38959
138,1998,3,2,3,5,0,1,1,694,93,72464
85.2,2008,2,2,3,2,0,1,1,5000,61,30516
72,2010,2,2,3,2,0,1,0,5000,33,28472
80.3,2006,2,2,3,2,0,1,0,5000,57,29265
65.78,2011,2,1,2,1,0,1,1,653,37,65065
73,2006,2,1,2,2,1,0,1,5000,95,35616
93,2005,3,2,2,2,0,1,1,878,9,36559
59,2014,1,1,2,2,0,1,0,5000,33,32203
88,2015,2,2,2,2,0,1,0,5000,61,31818
132.36,2003,3,2,1,2,0,1,0,642,80,57797
77,2014,2,1,1,2,0,1,0,5000,33,25584
68.52,2010,2,2,2,1,1,0,1,956,12,39405
62.07,1994,1,1,1,5,0,0,1,1110,8,57999
75.5,2003,2,1,3,2,0,1,0,1049,33,35099
90,2015,2,2,1,2,0,0,1,5000,12,33889
281,2014,3,2,3,1,0,1,1,225,46,213523
253.78,2006,2,2,3,7,0,1,0,977,25,97722
310.91,2004,3,2,3,3,1,0,0,977,25,125438
91.29,2013,2,2,3,2,0,1,1,5000,61,39435
94.05,2016,3,2,1,2,1,0,0,5000,57,39341
35,2000,2,2,2,1,0,1,0,822,149,18000
90,2008,2,2,2,1,0,1,1,791,101,42778
55.82,1990,2,1,2,1,0,1,1,5000,34,51953
115.8,2014,4,2,2,1,0,1,1,1010,37,69516
77,2008,2,1,3,1,0,1,1,614,8,88312
83,2016,2,2,2,2,0,1,0,381,36,31687
448,2004,5,2,3,3,0,1,1,382,13,178571
285.75,2013,4,2,2,7,0,1,0,978,25,157480
303.15,2002,4,2,1,3,1,0,0,995,25,125350
90.52,2002,3,2,3,2,1,0,1,1158,53,72912
104,2000,3,2,1,2,0,0,1,1032,127,54808
83.83,1998,2,1,3,2,0,1,1,5000,10,25051
56.4,2001,2,1,1,2,0,1,0,5000,49,44326
131.56,2004,3,2,2,1,0,1,1,5000,5,62177
144,2015,3,3,3,2,0,1,0,5000,61,39028
321.8,2005,5,2,1,1,0,1,1,562,38,102548
110,2006,3,2,3,1,0,1,0,498,10,24182
98,2013,3,2,3,2,0,1,0,609,51,53878
84.3,2014,2,2,3,2,1,0,1,5000,20,32028
83.42,1996,2,1,3,1,0,0,0,831,112,38959
103.79,2016,2,2,3,2,1,0,0,5000,62,55400
83.41,2003,2,2,2,1,0,1,1,964,42,83923
50,1983,2,1,3,2,0,1,1,249,44,48000
74,2005,2,2,3,2,0,1,1,307,54,47297
90.42,2002,2,2,2,2,1,0,1,911,135,77416
44.01,1992,1,1,2,1,0,1,1,5000,80,52261
75,2006,2,2,2,1,0,1,1,918,54,44667
58,1996,2,1,3,1,1,0,1,5000,65,43966
95.07,2008,3,2,3,1,0,1,0,918,59,36289
52,1993,1,2,3,1,0,1,1,453,26,43846
118,2005,3,2,2,2,0,1,1,5000,23,20763
68.73,2008,1,2,3,1,0,1,1,5000,26,50196
101.28,2009,2,2,2,1,0,1,1,947,56,77508
86.21,2010,2,1,3,2,0,1,0,5000,5,47094
99.14,2000,3,2,3,1,0,1,1,427,42,72120
93.5,2004,2,2,1,1,0,1,1,5000,34,55080
89,2002,4,2,3,1,0,1,0,623,37,44944
91.5,2015,2,2,2,1,1,0,0,1047,10,35847
286.62,2017,4,3,2,2,0,1,0,337,13,150024
61.7,2011,2,1,3,1,0,1,1,5000,65,58023
40.8,1995,1,1,2,1,0,1,1,571,42,58824
90,2007,2,2,3,2,0,1,1,791,101,38778
93.9,2007,2,2,2,2,0,1,1,5000,54,76677
56.22,1995,2,1,3,1,0,1,0,925,52,45358
169.49,2005,4,2,1,1,0,1,0,906,78,67851
130.45,2001,3,2,2,2,0,0,0,411,110,75125
82,2007,2,2,1,2,0,1,0,5000,52,36585
113,2005,3,2,1,2,0,1,0,5000,57,27876
47,2013,1,1,2,1,0,1,0,5000,54,36170
121.99,2001,3,2,3,2,0,1,0,999,40,52463
90,2014,2,2,3,1,1,0,0,5000,59,43333
91,2002,2,2,1,1,0,0,0,5000,71,57143
98.27,1998,3,1,2,1,1,0,0,5000,43,21878
150.4,2006,3,2,2,2,0,1,0,647,104,91755
76,2003,2,2,2,2,0,1,1,887,66,30921
57.8,1994,2,1,1,1,0,0,0,658,26,45848
84,2005,2,2,3,2,0,1,1,5000,23,22619
81.5,2014,2,1,2,1,0,1,1,5000,12,38650
55,2001,2,2,1,1,1,0,0,528,125,85455
106,2005,3,2,2,2,0,1,1,5000,115,48113
136,2002,3,2,1,2,0,1,1,5000,75,41912
56.4,2001,2,1,1,2,0,1,0,5000,49,44326
102.8,2008,3,2,3,2,0,1,0,5000,36,39397
152.9,2005,3,2,2,1,0,1,1,589,63,51014
54.87,1997,2,1,3,2,1,0,0,914,24,48843
77.83,2008,2,2,3,1,0,1,1,5000,112,26853
74.5,2016,2,2,2,2,0,1,0,655,36,34899
56,2013,1,1,2,1,0,1,0,5000,33,29464
102,2007,2,2,3,2,0,1,0,1150,67,58824
117.27,1995,2,2,3,5,0,1,1,263,140,61397
45,2012,1,1,2,1,0,0,1,5000,47,21111
69.24,2014,2,2,3,1,1,0,1,694,37,57770
89,2015,3,2,2,2,0,0,1,5000,3,8202
93.37,2005,2,2,1,1,0,1,1,5000,5,70687
63,2013,1,2,2,1,1,0,1,5000,29,18889
62,1995,2,1,1,1,0,0,1,5000,10,23387
73,1994,2,1,2,1,0,0,1,421,62,45068
55.89,1998,2,1,3,3,0,1,0,541,55,54571
75,2014,2,2,2,2,0,1,0,283,70,29333
131,2008,3,2,3,2,1,0,1,5000,151,13588
35,2000,1,1,1,2,0,1,1,678,44,50857
89.6,2012,2,2,2,2,0,1,0,412,60,35714
111.4,2014,3,2,2,2,0,1,1,5000,19,26840
72,2014,2,2,2,2,0,1,0,1036,70,26528
67,2007,1,2,1,1,0,1,1,562,34,72836
94,2016,3,1,1,2,0,0,0,5000,32,31383
121.2,2013,3,2,3,2,0,1,0,1081,51,79208
138,2008,3,2,3,2,0,1,1,142,13,94203
163.58,2008,3,2,3,1,1,0,1,790,122,110038
69.6,2014,2,1,1,2,1,0,0,5000,23,26580
10,2012,1,1,3,1,0,1,0,788,152,46000
47.83,1994,1,1,1,1,1,0,1,5000,34,43906
224,2010,4,2,1,1,0,1,1,730,38,84821
50.69,2000,2,1,1,1,0,1,0,635,125,68653
87.5,2012,3,2,2,2,0,1,0,5000,64,16229
98,2013,3,2,3,2,0,1,0,609,51,53878
68,2001,2,1,3,2,0,1,0,5000,58,12941
80.9,2013,2,2,3,2,0,1,0,5000,36,33375
91.59,2013,3,2,1,1,1,0,0,1135,115,54373
35,1992,1,0,1,1,0,1,0,274,6,58571
148.93,2006,3,2,2,2,0,0,1,140,153,71107
92,2015,2,2,3,1,0,1,1,5000,29,28043
64.9,1997,2,1,1,1,0,1,1,641,120,63790
67,1994,2,1,2,1,0,1,1,991,48,62388
50,1998,1,1,3,1,0,1,1,576,27,50000
93.3,2000,3,2,3,2,0,1,1,915,66,26259
83.5,2010,2,2,2,1,0,1,1,684,49,85030
123.53,2006,3,2,2,1,0,0,0,5000,36,38857
91,2015,3,2,3,2,1,0,1,884,96,27692
135.6,2006,3,2,2,2,0,1,0,5000,81,32891
89.6,2010,2,2,3,2,0,0,1,957,49,41295
57.27,1994,2,1,2,1,0,1,1,5000,16,26192
77,2013,2,2,2,1,1,0,0,5000,33,26623
85.96,2004,2,2,2,2,0,1,1,1016,102,34900
54,1985,2,1,1,1,0,1,1,433,44,42593
70,1989,2,1,3,1,0,1,0,637,131,64286
105.03,2008,2,2,3,2,1,0,1,5000,89,85690
536.6,2009,5,3,3,2,0,1,1,404,87,163996
89.5,2013,3,2,2,2,0,1,0,5000,101,32290
59,2006,1,1,3,2,1,0,1,1025,33,42881
60.85,1986,2,1,3,5,0,1,0,1071,44,45193
248,2014,4,2,3,2,0,1,0,173,98,72177
38,1995,1,1,2,1,0,1,0,347,110,73684
65,1983,2,1,1,1,0,1,1,236,44,47692
72,2013,2,2,3,2,0,1,0,980,32,32639
59.38,2007,1,1,2,1,0,1,1,5000,52,39239
91,2005,2,2,3,2,0,1,1,5000,5,49451
42.4,2000,1,1,3,1,0,1,0,182,89,99057
104,2004,2,2,3,2,1,0,1,298,89,83462
133.02,2004,3,2,3,2,0,0,0,5000,26,72170
91.72,2006,2,2,3,2,0,0,0,528,150,56694
130,2015,3,2,1,2,1,0,1,5000,29,23077
262,2016,4,2,2,2,1,0,0,715,41,86260
62,1991,2,1,2,2,0,1,0,764,71,50000
83,2008,2,2,2,1,0,1,0,5000,45,35904
68,2015,2,2,2,2,0,1,1,5000,3,12765
78.3,2016,2,2,1,2,0,1,0,813,61,31673
107.19,2005,2,2,2,2,0,1,1,325,100,89747
61,1997,2,1,3,1,0,1,1,571,42,55738
60.56,1993,2,1,3,1,0,1,0,5000,124,53666
86.6,2012,2,1,3,1,0,1,1,470,40,49654
80,2008,2,2,1,2,0,1,1,5000,151,14375
71.6,2002,2,2,1,3,0,1,0,5000,71,44693
79.5,2010,2,2,1,1,0,1,0,5000,65,62893
89.65,2014,2,2,2,2,0,1,0,5000,36,46849
47.3,2008,2,1,1,1,0,1,1,650,46,58774
67.1,2013,2,1,2,2,0,1,0,5000,54,40238
100.79,2015,3,2,2,2,0,1,1,5000,12,34726
39.8,1985,1,1,1,2,0,1,0,5000,11,59045
89,2009,2,2,3,7,0,1,1,5000,61,44382
71.26,2013,2,2,3,2,0,1,0,1039,70,29750
375,2014,4,2,2,1,1,0,1,770,55,98640
75,1998,2,2,2,1,0,0,0,879,67,53333
224,2006,4,2,2,2,0,1,1,762,79,107143
95.3,2014,3,2,3,1,1,0,1,5000,12,39349
55,2005,1,1,2,1,0,1,1,711,27,53636
114.47,2000,3,2,3,1,0,1,1,5000,5,62287
86.44,1998,2,2,1,1,0,1,0,488,37,72883
107,2004,3,2,3,1,0,1,0,439,67,51402
89,2000,3,2,1,2,0,1,0,5000,64,16292
142,1997,3,2,2,1,0,1,0,905,8,58099
79.07,2005,2,2,2,5,0,0,1,5000,36,34779
101,2012,3,2,2,2,0,1,0,5000,112,38614
116,2013,3,2,2,2,0,1,1,5000,61,29310
88,2015,2,2,3,2,1,0,0,5000,23,27273
207,2015,4,2,3,2,0,1,0,154,17,68599
66,1992,2,1,1,1,0,1,1,5000,71,46970
54.3,1994,2,1,1,1,1,0,1,434,44,44199
53.66,1988,2,1,2,2,0,1,1,565,143,108088
43.31,1996,1,1,2,2,0,1,1,5000,65,39252
117.5,2007,3,2,2,1,0,1,0,275,5,44681
91.24,2012,3,2,2,1,0,1,1,955,101,39785
73,2007,2,2,2,1,0,1,1,5000,61,34110
127.1,2006,3,2,2,2,0,1,1,5000,81,34618
101.17,2003,3,2,2,2,0,1,1,705,42,75121
368,2006,5,3,3,2,0,1,1,762,79,114130
50.48,1983,2,1,1,1,0,1,1,400,51,65174
85.26,2007,2,2,3,2,0,1,1,989,33,41989
112.25,2001,2,2,3,1,0,1,0,393,131,97817
101,2003,3,1,3,2,0,1,1,567,44,57426
281,2014,3,2,3,1,0,1,1,225,46,213523
56.4,2010,1,1,2,1,1,0,0,5000,33,26596
237.13,2010,3,2,3,2,0,1,1,232,13,143381
51,1992,2,1,3,2,0,1,1,476,69,46078
142.5,2003,3,2,2,1,0,0,1,320,109,40702
170,2012,4,2,2,2,0,1,0,496,86,95294
114.1,2011,3,2,1,2,0,1,0,5000,19,39877
48,1998,1,1,1,1,1,0,1,327,44,54167
56,2010,1,2,3,1,0,1,0,5000,33,30357
89.3,2013,3,2,2,2,0,1,0,5000,12,40314
128,2006,3,2,1,2,0,1,1,918,54,41328
87,2007,2,2,2,2,0,1,0,5000,75,48276
89,1999,3,1,3,2,0,1,0,589,142,43596
65.44,1995,2,1,1,2,0,1,0,354,116,57304
92.21,2010,3,2,1,2,0,1,0,5000,71,57478
99,2007,2,2,2,2,0,1,0,5000,62,45960
122.97,2007,2,2,1,1,0,1,1,368,38,89453
111.5,2007,3,2,1,2,0,0,0,5000,61,37668
480,2015,5,2,3,2,0,1,0,5000,88,119792
68.57,1996,2,1,2,1,0,1,0,1046,24,45938
68.3,2013,2,2,1,2,1,0,0,5000,33,27086
72.18,2017,2,2,2,2,1,0,0,5000,3,13577
132.2,2013,3,2,2,1,0,1,0,5000,65,46823
242.81,2011,4,2,1,2,0,1,1,770,55,94683
222,2007,4,3,3,2,0,1,0,5000,102,48649
52,1993,1,2,3,1,0,1,1,453,26,43846
104,2004,2,2,3,2,1,0,1,298,89,83462
108,2004,2,2,2,2,0,1,0,5000,71,61296
183.8,2005,4,2,2,5,0,1,1,633,17,78890
80.82,2012,2,2,2,2,0,1,1,59,77,29201
55,2014,1,1,2,1,0,1,1,5000,70,28182
72.11,1997,2,2,2,1,0,1,0,593,40,44654
30,2017,1,1,2,2,0,1,0,5000,3,9333
107,1998,2,2,3,2,0,1,1,316,85,49159
112.6,2008,3,2,1,1,0,1,1,546,49,40675
62.11,1994,2,0,2,1,0,1,1,5000,94,75511
168,2012,4,2,3,2,0,0,1,801,128,43452
79.8,2004,3,2,3,2,0,1,1,5000,51,56391
99,2009,3,2,2,2,0,1,0,5000,12,38889
98.27,1998,3,2,3,1,1,0,0,5000,43,21573
110,2011,3,2,2,2,0,1,1,748,23,43636
38.6,1999,1,1,1,1,0,0,1,343,98,72539
69,2001,2,1,3,1,0,1,0,5000,88,63478
76.6,2012,2,1,2,2,0,1,0,283,70,30679
66.55,2011,1,2,1,1,0,1,1,601,44,64613
75,2008,2,2,3,2,0,1,0,1148,36,31733
56.4,2014,1,1,1,2,0,1,0,5000,33,26596
